iter	Passed	Remaining
0	218	217879
1	238	118781
2	257	85519
3	274	68298
4	292	58204
5	309	51210
6	330	46871
7	389	48351
8	412	45465
9	437	43281
10	457	41160
11	480	39522
12	500	38034
13	526	37064
14	552	36309
15	574	35357
16	593	34330
17	616	33644
18	638	32944
19	661	32433
20	681	31786
21	703	31255
22	725	30818
23	765	31133
24	785	30641
25	810	30366
26	835	30112
27	869	30169
28	894	29951
29	912	29495
30	929	29055
31	950	28742
32	966	28321
33	985	27992
34	1031	28435
35	1069	28633
36	1103	28725
37	1145	28986
38	1179	29057
39	1212	29104
40	1228	28746
41	1254	28618
42	1290	28726
43	1335	29022
44	1362	28924
45	1394	28917
46	1425	28899
47	1454	28842
48	1480	28742
49	1504	28586
50	1531	28501
51	1586	28930
52	1637	29260
53	1684	29512
54	1720	29556
55	1769	29827
56	1802	29822
57	1850	30056
58	1873	29875
59	1896	29712
60	1916	29501
61	1937	29312
62	1959	29137
63	1979	28954
64	2001	28791
65	2021	28602
66	2046	28503
67	2068	28347
68	2091	28214
69	2115	28101
70	2137	27965
71	2158	27818
72	2179	27678
73	2199	27522
74	2220	27390
75	2244	27289
76	2266	27174
77	2288	27050
78	2308	26911
79	2327	26765
80	2357	26746
81	2374	26584
82	2392	26431
83	2410	26287
84	2428	26144
85	2446	26001
86	2464	25867
87	2485	25755
88	2508	25678
89	2542	25708
90	2586	25834
91	2621	25874
92	2656	25909
93	2683	25861
94	2708	25805
95	2733	25742
96	2756	25661
97	2775	25550
98	2796	25448
99	2816	25351
100	2836	25250
101	2856	25151
102	2881	25092
103	2900	24988
104	2919	24887
105	2939	24794
106	2967	24770
107	2989	24692
108	3018	24670
109	3063	24789
110	3095	24792
111	3135	24862
112	3164	24843
113	3194	24828
114	3221	24791
115	3250	24774
116	3271	24690
117	3293	24616
118	3313	24527
119	3335	24456
120	3357	24391
121	3377	24306
122	3400	24245
123	3422	24180
124	3443	24104
125	3462	24016
126	3482	23939
127	3502	23862
128	3524	23798
129	3556	23801
130	3606	23922
131	3659	24066
132	3721	24258
133	3744	24198
134	3767	24138
135	3787	24063
136	3810	24003
137	3831	23933
138	3864	23937
139	3887	23877
140	3912	23835
141	3935	23777
142	3956	23713
143	3980	23659
144	4001	23594
145	4021	23521
146	4044	23468
147	4065	23404
148	4086	23338
149	4110	23294
150	4131	23232
151	4154	23179
152	4177	23123
153	4196	23053
154	4215	22979
155	4234	22912
156	4261	22881
157	4282	22822
158	4300	22748
159	4321	22689
160	4341	22622
161	4360	22554
162	4380	22492
163	4407	22465
164	4429	22414
165	4448	22351
166	4468	22290
167	4488	22230
168	4510	22176
169	4529	22113
170	4546	22039
171	4563	21966
172	4582	21906
173	4602	21848
174	4619	21776
175	4639	21719
176	4658	21660
177	4676	21596
178	4691	21516
179	4705	21436
180	4720	21361
181	4735	21283
182	4750	21208
183	4765	21133
184	4781	21064
185	4796	20989
186	4810	20913
187	4823	20834
188	4838	20762
189	4855	20699
190	4870	20627
191	4884	20555
192	4899	20486
193	4914	20416
194	4928	20346
195	4943	20280
196	4957	20209
197	4971	20137
198	4985	20068
199	5000	20001
200	5015	19937
201	5031	19875
202	5046	19813
203	5061	19750
204	5077	19689
205	5092	19628
206	5110	19578
207	5127	19522
208	5143	19466
209	5161	19416
210	5181	19374
211	5202	19337
212	5225	19308
213	5248	19277
214	5276	19264
215	5305	19256
216	5336	19256
217	5369	19262
218	5407	19284
219	5430	19252
220	5460	19248
221	5504	19291
222	5533	19279
223	5574	19311
224	5612	19333
225	5642	19323
226	5668	19304
227	5695	19284
228	5727	19281
229	5757	19273
230	5779	19241
